player,team1,team2,team,Our Score
Gurkeerat Singh,MI,RCB,RCB,18
HH Pandya,MI,RCB,MI,35
Ishan Kishan,MI,RCB,MI,29
JJ Bumrah,MI,RCB,MI,29
JL Pattinson,MI,RCB,MI,28
KA Pollard,MI,RCB,MI,36
KH Pandya,MI,RCB,MI,28
Mohammed Siraj,MI,RCB,RCB,25
Philippe,MI,RCB,RCB,17
Q de Kock,MI,RCB,MI,39
RD Chahar,MI,RCB,MI,27
S Dube,MI,RCB,RCB,14
SS Tiwary,MI,RCB,MI,25
TA Boult,MI,RCB,MI,24
V Kohli,MI,RCB,RCB,41
Washington Sundar,MI,RCB,RCB,23
YS Chahal,MI,RCB,RCB,28
AJ Tye,RR,DC,DC,31
AR Patel,RR,DC,DC,32
Anrich Nortje,RR,DC,DC,15
HV Patel,RR,DC,DC,31
J Archer,RR,DC,RR,38
JC Buttler,RR,DC,RR,42
K Rabada,RR,DC,DC,27
Kartik Tyagi,RR,DC,RR,35
M Lomror,RR,DC,RR,21
MP Stoinis,RR,DC,DC,36
P Shaw,RR,DC,DC,26
R Ashwin,RR,DC,DC,25
R Tewatia,RR,DC,RR,28
RR Pant,RR,DC,DC,40
S Dhawan,RR,DC,DC,37
S Gopal,RR,DC,RR,36
S Hetmyer,RR,DC,DC,32
SPD Smith,RR,DC,RR,37
SS Iyer,RR,DC,DC,38
SV Samson,RR,DC,RR,34
VR Aaron,RR,DC,RR,29
YBK Jaiswal,RR,DC,RR,27
AD Russell,KKR,CSK,KKR,53
AT Rayudu,KKR,CSK,CSK,29
CV Varun,KKR,CSK,KKR,32
DJ Bravo,KKR,CSK,CSK,44
DL Chahar,KKR,CSK,CSK,22
EJG Morgan,KKR,CSK,KKR,29
F du Plessis,KKR,CSK,CSK,32
KD Karthik,KKR,CSK,KKR,29
KL Nagarkoti,KKR,CSK,KKR,29
KM Jadhav,KKR,CSK,CSK,19
KV Sharma,KKR,CSK,CSK,25
MS Dhoni,KKR,CSK,CSK,32
N Rana,KKR,CSK,KKR,38
PJ Cummins,KKR,CSK,KKR,28
RA Jadeja,KKR,CSK,CSK,31
RA Tripathi,KKR,CSK,KKR,28
S Curran,KKR,CSK,CSK,28
SN Thakur,KKR,CSK,CSK,23
SP Narine,KKR,CSK,KKR,38
SR Watson,KKR,CSK,CSK,51
Shivam Mavi,KKR,CSK,KKR,32
Shubman Gill,KKR,CSK,KKR,32
AB de Villiers,RCB,SRH,RCB,43
Abhishek Sharma,RCB,SRH,SRH,16
CH Morris,RCB,SRH,RCB,33
D Padikkal,RCB,SRH,RCB,25
DA Warner,RCB,SRH,SRH,50
Gurkeerat Singh,RCB,SRH,RCB,16
I Udana,RCB,SRH,RCB,19
JO Holder,RCB,SRH,SRH,29
KS Williamson,RCB,SRH,SRH,41
MK Pandey,RCB,SRH,SRH,29
Mohammed Siraj,RCB,SRH,RCB,24
N Saini,RCB,SRH,RCB,25
Philippe,RCB,SRH,RCB,16
Priyam Garg,RCB,SRH,SRH,18
Rashid Khan,RCB,SRH,SRH,29
S Nadeem,RCB,SRH,SRH,20
Sandeep Sharma,RCB,SRH,SRH,33
T Natarajan,RCB,SRH,SRH,25
V Kohli,RCB,SRH,RCB,40
WP Saha,RCB,SRH,SRH,25
Washington Sundar,RCB,SRH,RCB,22
YS Chahal,RCB,SRH,RCB,27
AS Yadav,KXIP,MI,MI,26
Cottrell,KXIP,MI,KXIP,34
GJ Maxwell,KXIP,MI,KXIP,35
HH Pandya,KXIP,MI,MI,35
Ishan Kishan,KXIP,MI,MI,30
JDS Neesham,KXIP,MI,KXIP,29
JJ Bumrah,KXIP,MI,MI,29
JL Pattinson,KXIP,MI,MI,28
K Gowtham,KXIP,MI,KXIP,28
KA Pollard,KXIP,MI,MI,36
KK Nair,KXIP,MI,KXIP,31
KL Rahul,KXIP,MI,KXIP,46
MA Agarwal,KXIP,MI,KXIP,24
MK Pandey,KXIP,MI,SRH,31
Mohammed Shami,KXIP,MI,KXIP,25
N Pooran,KXIP,MI,KXIP,40
Q de Kock,KXIP,MI,MI,39
RD Chahar,KXIP,MI,MI,28
RG Sharma,KXIP,MI,MI,40
Ravi Bishnoi,KXIP,MI,KXIP,30
SN Khan,KXIP,MI,KXIP,23
TA Boult,KXIP,MI,MI,25
AD Russell,RR,KKR,KKR,54
AS Rajpoot,RR,KKR,RR,27
CV Varun,RR,KKR,KKR,33
EJG Morgan,RR,KKR,KKR,30
J Archer,RR,KKR,RR,35
JC Buttler,RR,KKR,RR,40
JD Unadkat,RR,KKR,RR,29
KD Karthik,RR,KKR,KKR,29
KL Nagarkoti,RR,KKR,KKR,30
Kuldeep Yadav,RR,KKR,KKR,23
N Rana,RR,KKR,KKR,39
PJ Cummins,RR,KKR,KKR,28
R Parag,RR,KKR,RR,34
R Tewatia,RR,KKR,RR,26
RV Uthappa,RR,KKR,RR,31
S Gopal,RR,KKR,RR,34
SP Narine,RR,KKR,KKR,38
SPD Smith,RR,KKR,RR,35
SV Samson,RR,KKR,RR,32
Shivam Mavi,RR,KKR,KKR,33
Shubman Gill,RR,KKR,KKR,33
T Curran,RR,KKR,RR,25
AB de Villiers,DC,RCB,RCB,45
AM Rahane,DC,RCB,DC,34
AR Patel,DC,RCB,DC,32
Anrich Nortje,DC,RCB,DC,14
CH Morris,DC,RCB,RCB,34
D Padikkal,DC,RCB,RCB,26
I Udana,DC,RCB,RCB,20
